id,table_speed,down_feed_rate,wheel_grit_size,strength
0,Slow,Low,140/170,608.781
1,Slow,Low,140/170,569.67
2,Slow,Low,140/170,689.556
3,Slow,Low,140/170,747.541
4,Slow,Low,140/170,618.134
5,Slow,Low,140/170,612.182
6,Slow,Low,140/170,680.203
7,Slow,Low,140/170,607.766
8,Slow,Low,140/170,726.232
9,Slow,Low,140/170,605.38
10,Slow,Low,140/170,518.655
11,Slow,Low,140/170,589.226
12,Slow,Low,140/170,740.447
13,Slow,Low,140/170,588.375
14,Slow,Low,140/170,666.83
15,Slow,Low,140/170,531.384
16,Slow,Low,140/170,710.272
17,Slow,Low,140/170,633.417
18,Slow,Low,140/170,751.669
19,Slow,Low,140/170,619.06
20,Slow,Low,140/170,697.979
21,Slow,Low,140/170,632.447
22,Slow,Low,140/170,708.583
23,Slow,Low,140/170,624.256
24,Slow,Low,140/170,624.972
25,Slow,Low,140/170,575.143
26,Slow,Low,140/170,695.07
27,Slow,Low,140/170,549.278
28,Slow,Low,140/170,769.391
29,Slow,Low,140/170,624.972
30,Slow,High,80/100,720.186
31,Slow,High,80/100,587.695
32,Slow,High,80/100,723.657
33,Slow,High,80/100,569.207
34,Slow,High,80/100,703.7
35,Slow,High,80/100,613.257
36,Slow,High,80/100,697.626
37,Slow,High,80/100,565.737
38,Slow,High,80/100,714.98
39,Slow,High,80/100,662.131
40,Slow,High,80/100,657.712
41,Slow,High,80/100,543.177
42,Slow,High,80/100,609.989
43,Slow,High,80/100,512.394
44,Slow,High,80/100,650.771
45,Slow,High,80/100,611.19
46,Slow,High,80/100,707.977
47,Slow,High,80/100,659.982
48,Slow,High,80/100,712.199
49,Slow,High,80/100,569.245
50,Slow,High,80/100,709.631
51,Slow,High,80/100,725.792
52,Slow,High,80/100,703.16
53,Slow,High,80/100,608.96
54,Slow,High,80/100,744.822
55,Slow,High,80/100,586.06
56,Slow,High,80/100,719.217
57,Slow,High,80/100,617.441
58,Slow,High,80/100,619.137
59,Slow,High,80/100,592.845
60,Fast,High,80/100,753.333
61,Fast,High,80/100,631.754
62,Fast,High,80/100,677.933
63,Fast,High,80/100,588.113
64,Fast,High,80/100,735.919
65,Fast,High,80/100,555.724
66,Fast,High,80/100,695.274
67,Fast,High,80/100,702.411
68,Fast,High,80/100,504.167
69,Fast,High,80/100,631.754
70,Fast,High,80/100,693.333
71,Fast,High,80/100,698.254
72,Fast,High,80/100,625.0
73,Fast,High,80/100,616.791
74,Fast,High,80/100,596.667
75,Fast,High,80/100,551.953
76,Fast,High,80/100,640.898
77,Fast,High,80/100,636.738
78,Fast,High,80/100,720.506
79,Fast,High,80/100,571.551
80,Fast,High,80/100,700.748
81,Fast,High,80/100,521.667
82,Fast,High,80/100,691.604
83,Fast,High,80/100,587.451
84,Fast,High,80/100,636.738
85,Fast,High,80/100,700.422
86,Fast,High,80/100,731.667
87,Fast,High,80/100,595.819
88,Fast,High,80/100,635.079
89,Fast,High,80/100,534.236
90,Fast,Low,140/170,716.926
91,Fast,Low,140/170,606.188
92,Fast,Low,140/170,759.581
93,Fast,Low,140/170,575.303
94,Fast,Low,140/170,673.903
95,Fast,Low,140/170,590.628
96,Fast,Low,140/170,736.648
97,Fast,Low,140/170,729.314
98,Fast,Low,140/170,675.957
99,Fast,Low,140/170,619.313
100,Fast,Low,140/170,729.23
101,Fast,Low,140/170,624.234
102,Fast,Low,140/170,697.239
103,Fast,Low,140/170,651.304
104,Fast,Low,140/170,728.499
105,Fast,Low,140/170,724.175
106,Fast,Low,140/170,797.662
107,Fast,Low,140/170,583.034
108,Fast,Low,140/170,668.53
109,Fast,Low,140/170,620.227
110,Fast,Low,140/170,815.754
111,Fast,Low,140/170,584.861
112,Fast,Low,140/170,777.392
113,Fast,Low,140/170,565.391
114,Fast,Low,140/170,712.14
