Date,Machine_ID,Product_Type,Shift,Operator_Experience_Years,Temperature_C,Humidity_Percent,Production_Units,Defective_Units,Downtime_Minutes,Cycle_Time_Minutes,Energy_Consumption_kWh,Raw_Material_Cost_USD
2025-01-01,M4,Product_B,,9.5,28.5,37.5,505.0,1,42.3,6.14,154.3,2313.59
2025-01-01,M3,Product_A,Morning,1.5,38.7,43.4,476.0,4,44.5,5.48,191.0,1294.25
2025-01-01,M3,Product_B,Morning,6.0,29.3,58.6,516.0,11,16.6,6.83,220.5,2393.13
2025-01-02,M3,Product_A,Morning,0.0,28.5,64.9,444.0,13,23.0,6.46,202.7,1355.73
2025-01-02,M3,Product_B,Evening,13.9,28.7,41.0,477.0,1,0.0,5.31,126.5,2112.92
2025-01-02,M5,Product_A,Night,10.1,33.8,49.7,508.0,2,7.9,6.11,211.1,1507.17
2025-01-02,M4,Product_A,Morning,10.6,25.1,66.1,484.0,2,14.2,5.84,224.1,1455.69
2025-01-02,M2,Product_A,Evening,9.1,32.0,64.4,425.0,7,16.2,5.84,197.5,1510.58
2025-01-03,M3,Product_A,Night,1.2,28.1,64.5,435.0,7,53.8,5.95,184.6,1441.77
2025-01-03,M3,Product_B,Morning,8.2,38.7,64.3,493.0,11,5.8,5.78,206.1,2401.83
2025-01-04,M1,Product_A,Morning,9.7,,62.1,500.0,6,4.1,5.24,161.8,1735.22
2025-01-04,M2,Product_B,Morning,5.8,31.0,36.0,457.0,1,36.3,5.87,205.8,1828.65
2025-01-04,M3,Product_B,Evening,8.2,42.6,51.8,483.0,5,4.3,6.32,141.1,2320.59
2025-01-05,M5,Product_C,,12.3,33.7,50.6,490.0,6,57.2,5.47,276.5,2536.72
2025-01-05,M2,Product_A,Evening,0.2,,46.4,441.0,6,7.2,6.53,182.6,1249.0
2025-01-05,M1,Product_B,Evening,3.8,33.5,70.4,441.0,10,53.3,6.8,200.8,2078.73
2025-01-06,M2,Product_C,Evening,12.0,22.3,58.3,506.0,2,66.5,6.16,171.2,3259.88
2025-01-06,M4,Product_A,Evening,10.7,41.5,35.4,493.0,1,0.0,5.46,174.8,1678.33
